x-axis,1,2,3
second,Volt,Volt,Volt
+29.62000E-03,+2.38125002E+00,+1.15625000E+00,+1.41199994E+00
+29.63000E-03,+2.50625002E+00,+1.90625000E+00,+2.16199994E+00
+29.64000E-03,+2.31875002E+00,+2.50000000E+00,+2.72449994E+00
+29.65000E-03,+1.78750002E+00,+2.78125000E+00,+2.81824994E+00
+29.66000E-03,+1.22500002E+00,+2.56250000E+00,+2.41199994E+00
+29.67000E-03,+787.50002E-03,+2.00000000E+00,+1.72449994E+00
+29.68000E-03,+693.75002E-03,+1.25000000E+00,+1.03699994E+00
+29.69000E-03,+1.03750002E+00,+687.50000E-03,+505.74994E-03
+29.70000E-03,+1.56875002E+00,+500.00000E-03,+505.74994E-03
+29.71000E-03,+2.13125002E+00,+812.50000E-03,+943.24994E-03
+29.72000E-03,+2.47500002E+00,+1.40625000E+00,+1.72449994E+00
+29.73000E-03,+2.44375002E+00,+2.12500000E+00,+2.41199994E+00
+29.74000E-03,+2.03750002E+00,+2.65625000E+00,+2.81824994E+00
+29.75000E-03,+1.50625002E+00,+2.71875000E+00,+2.69324994E+00
+29.76000E-03,+943.75002E-03,+2.34375000E+00,+2.16199994E+00
+29.77000E-03,+693.75002E-03,+1.65625000E+00,+1.38074994E+00
+29.78000E-03,+818.75002E-03,+968.75000E-03,+724.49994E-03
+29.79000E-03,+1.31875002E+00,+562.50000E-03,+474.49994E-03
+29.80000E-03,+1.85000002E+00,+593.75000E-03,+724.49994E-03
+29.81000E-03,+2.38125002E+00,+1.09375000E+00,+1.34949994E+00
+29.82000E-03,+2.53750002E+00,+1.84375000E+00,+2.16199994E+00
+29.83000E-03,+2.22500002E+00,+2.46875000E+00,+2.69324994E+00
+29.84000E-03,+1.72500002E+00,+2.75000000E+00,+2.75574994E+00
+29.85000E-03,+1.13125002E+00,+2.50000000E+00,+2.38074994E+00
+29.86000E-03,+756.25002E-03,+1.87500000E+00,+1.63074994E+00
+29.87000E-03,+756.25002E-03,+1.15625000E+00,+911.99994E-03
+29.88000E-03,+1.19375002E+00,+656.25000E-03,+536.99994E-03
+29.89000E-03,+1.78750002E+00,+562.50000E-03,+630.74994E-03
+29.90000E-03,+2.31875002E+00,+937.50000E-03,+1.16199994E+00
+29.91000E-03,+2.50625002E+00,+1.65625000E+00,+1.94324994E+00
+29.92000E-03,+2.28750002E+00,+2.34375000E+00,+2.56824994E+00
+29.93000E-03,+1.78750002E+00,+2.71875000E+00,+2.75574994E+00
+29.94000E-03,+1.16250002E+00,+2.56250000E+00,+2.47449994E+00
+29.95000E-03,+756.25002E-03,+2.00000000E+00,+1.72449994E+00
+29.96000E-03,+725.00002E-03,+1.21875000E+00,+1.03699994E+00
+29.97000E-03,+1.13125002E+00,+718.75000E-03,+568.24994E-03
+29.98000E-03,+1.75625002E+00,+562.50000E-03,+630.74994E-03
+29.99000E-03,+2.31875002E+00,+906.25000E-03,+1.13074994E+00
+30.00000E-03,+2.56875002E+00,+1.62500000E+00,+1.91199994E+00
+30.01000E-03,+2.31875002E+00,+2.31250000E+00,+2.56824994E+00
+30.02000E-03,+1.75625002E+00,+2.65625000E+00,+2.75574994E+00
+30.03000E-03,+1.16250002E+00,+2.56250000E+00,+2.41199994E+00
+30.04000E-03,+756.25002E-03,+1.96875000E+00,+1.75574994E+00
+30.05000E-03,+818.75002E-03,+1.25000000E+00,+1.03699994E+00
